Batch,Decom Loss,Relight Loss
1,0.0229,0.3759
2,0.0222,0.3759
3,0.023,0.3758
4,0.0225,0.3757
5,0.0224,0.3757
6,0.0222,0.3756
7,0.023,0.3755
8,0.0227,0.3755
9,0.0227,0.3754
10,0.0223,0.3754
11,0.0222,0.3753
12,0.0224,0.3752
13,0.0219,0.3752
14,0.0219,0.3751
15,0.0218,0.375
16,0.0217,0.375
17,0.0224,0.3749
18,0.0227,0.3748
19,0.0226,0.3748
20,0.0219,0.3747
21,0.0225,0.3746
22,0.0226,0.3746
23,0.0221,0.3745
24,0.0226,0.3744
25,0.0224,0.3744
26,0.0221,0.3743
27,0.0223,0.3743
28,0.0222,0.3742
29,0.0226,0.3741
30,0.0212,0.3741
31,0.022,0.374
32,0.022,0.3739
33,0.0218,0.3738
34,0.0216,0.3738
35,0.0223,0.3737
36,0.0219,0.3736
37,0.0211,0.3736
38,0.0219,0.3735
39,0.0214,0.3735
40,0.0222,0.3734
41,0.0216,0.3734
42,0.0218,0.3737
43,0.0216,0.3733
44,0.0223,0.3731
45,0.0218,0.373
46,0.0213,0.3729
47,0.0212,0.3729
48,0.0218,0.3728
49,0.021,0.3728
50,0.0207,0.3726
51,0.0213,0.3726
52,0.0209,0.3725
53,0.0211,0.3725
54,0.0211,0.3725
55,0.0216,0.3723
56,0.0211,0.3722
57,0.0214,0.3722
58,0.0214,0.3721
59,0.0215,0.372
60,0.0219,0.3719
61,0.0211,0.3719
62,0.0213,0.3718
63,0.0217,0.3717
64,0.021,0.3717
65,0.0217,0.3715
66,0.0208,0.3715
67,0.0209,0.3714
68,0.0208,0.3713
69,0.0217,0.3712
70,0.0209,0.3712
71,0.0215,0.3711
72,0.0213,0.371
73,0.0214,0.3714
74,0.0214,0.3711
75,0.021,0.3715
76,0.0212,0.3707
77,0.0211,0.3706
78,0.0211,0.3707
79,0.0208,0.3708
80,0.0211,0.3704
81,0.0208,0.3703
82,0.0209,0.3704
83,0.0208,0.3702
84,0.0208,0.3701
85,0.0207,0.37
86,0.0213,0.3699
87,0.021,0.3699
88,0.0206,0.3699
89,0.0204,0.3697
90,0.021,0.3697
91,0.0214,0.3696
92,0.0209,0.3695
93,0.0208,0.3694
94,0.0208,0.3693
95,0.0212,0.3693
96,0.0207,0.3692
97,0.0208,0.3692
98,0.0203,0.3691
99,0.0203,0.369
