(py37Retinex) D:\Zou\RetinexNet_PyTorch-master\RetinexNet_PyTorch-master>python train_improved.py --data_dir ./ --batch_size 2 --patch_size 64 --epochs 30 --lr 0.000003
训练数据数量: 485
Epoch [1/30], Batch [1/242], Decom Loss: 0.0237, Relight Loss: 0.3913
Epoch [1/30], Batch [2/242], Decom Loss: 0.0236, Relight Loss: 0.3913
Epoch [1/30], Batch [3/242], Decom Loss: 0.0238, Relight Loss: 0.3913
Epoch [1/30], Batch [4/242], Decom Loss: 0.0233, Relight Loss: 0.3913
Epoch [1/30], Batch [5/242], Decom Loss: 0.0227, Relight Loss: 0.3912
Epoch [1/30], Batch [6/242], Decom Loss: 0.0225, Relight Loss: 0.3911
Epoch [1/30], Batch [7/242], Decom Loss: 0.0239, Relight Loss: 0.3913
Epoch [1/30], Batch [8/242], Decom Loss: 0.0234, Relight Loss: 0.3913
Epoch [1/30], Batch [9/242], Decom Loss: 0.0237, Relight Loss: 0.3913
Epoch [1/30], Batch [10/242], Decom Loss: 0.0235, Relight Loss: 0.3912
Epoch [1/30], Batch [11/242], Decom Loss: 0.0236, Relight Loss: 0.3912
Epoch [1/30], Batch [12/242], Decom Loss: 0.0237, Relight Loss: 0.3913
Epoch [1/30], Batch [13/242], Decom Loss: 0.0234, Relight Loss: 0.3912
Epoch [1/30], Batch [14/242], Decom Loss: 0.0230, Relight Loss: 0.3912
Epoch [1/30], Batch [15/242], Decom Loss: 0.0230, Relight Loss: 0.3912
Epoch [1/30], Batch [16/242], Decom Loss: 0.0225, Relight Loss: 0.3910
Epoch [1/30], Batch [17/242], Decom Loss: 0.0229, Relight Loss: 0.3911
Epoch [1/30], Batch [18/242], Decom Loss: 0.0239, Relight Loss: 0.3912
Epoch [1/30], Batch [19/242], Decom Loss: 0.0236, Relight Loss: 0.3912
Epoch [1/30], Batch [20/242], Decom Loss: 0.0227, Relight Loss: 0.3911
Epoch [1/30], Batch [21/242], Decom Loss: 0.0234, Relight Loss: 0.3912
Epoch [1/30], Batch [22/242], Decom Loss: 0.0234, Relight Loss: 0.3911
Epoch [1/30], Batch [23/242], Decom Loss: 0.0226, Relight Loss: 0.3910
Epoch [1/30], Batch [24/242], Decom Loss: 0.0235, Relight Loss: 0.3911
Epoch [1/30], Batch [25/242], Decom Loss: 0.0232, Relight Loss: 0.3911
Epoch [1/30], Batch [26/242], Decom Loss: 0.0231, Relight Loss: 0.3911
Epoch [1/30], Batch [27/242], Decom Loss: 0.0233, Relight Loss: 0.3911
Epoch [1/30], Batch [28/242], Decom Loss: 0.0235, Relight Loss: 0.3911
Epoch [1/30], Batch [29/242], Decom Loss: 0.0234, Relight Loss: 0.3911
Epoch [1/30], Batch [30/242], Decom Loss: 0.0228, Relight Loss: 0.3911
Epoch [1/30], Batch [31/242], Decom Loss: 0.0229, Relight Loss: 0.3910
Epoch [1/30], Batch [32/242], Decom Loss: 0.0231, Relight Loss: 0.3911
Epoch [1/30], Batch [33/242], Decom Loss: 0.0230, Relight Loss: 0.3911
Epoch [1/30], Batch [34/242], Decom Loss: 0.0228, Relight Loss: 0.3910
Epoch [1/30], Batch [35/242], Decom Loss: 0.0233, Relight Loss: 0.3910
Epoch [1/30], Batch [36/242], Decom Loss: 0.0225, Relight Loss: 0.3910
Epoch [1/30], Batch [37/242], Decom Loss: 0.0222, Relight Loss: 0.3910
